_id,Job Title,Company Name,Location,Job Type,Workplace Type,Years of Experience,Career Level,Job Category,Skills,Job Link
680d059c9eeca96d883e57ee,Senior Production Engineer,IETOS -,"khanka, Qalubia, Egypt",Full Time,On-site,· 6 - 10 Yrs of Exp,Experienced,· Manufacturing/Production,"['· Industrial', '· Manufacturing', '· Production Engineering', '· Production']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/ejdk27uAHZEC-Senior-Production-Engineer-IETOS-Qalubia-Egypt
680d059c9eeca96d883e57ef,IT Help Desk Specialist,iTechnology -,"Mohandessin, Giza, Egypt",Full Time,Hybrid,· 2 - 4 Yrs of Exp,Experienced,· IT/Software Development,"['· Communication skills', '· Configuration', '· Information Technology (IT)', '· Maintenance', '· Installation', '· IT', '· Networking', '· Troubleshooting']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/XnAG0NSKoVqa-IT-Help-Desk-Specialist-iTechnology-Giza-Egypt
680d059c9eeca96d883e57f0,Senior Structural Engineer,Afniah Consulting Engineering  -,"Heliopolis, Cairo, Egypt",Full Time,On-site,· 10 - 12 Yrs of Exp,Experienced,· Engineering - Construction/Civil/Architecture,"['· Civil Engineering', '· AutoCAD', '· Design', '· Engineering', '· Revit']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/tPRESitvSJUY-Senior-Structural-Engineer-Afniah-Consulting-Engineering-Cairo-Egypt
680d059c9eeca96d883e57f1,HR Consultant,Avanguard -,"New Cairo, Cairo, Egypt",Full Time,Remote,· 10 - 15 Yrs of Exp,Senior Management,· Human Resources,"['· HR', '· Consulting', '· Human Resources', '· Business Administration', '· Management', '· Microsoft Office', '· business']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/vImZCyuOcEu1-HR-Consultant-Avanguard-Cairo-Egypt
680d059c9eeca96d883e57f2,Tendering and Procurement Manager,Confidential -,"New Cairo, Cairo, Egypt",Full Time,On-site,· 15 - 20 Yrs of Exp,Manager,· Engineering - Construction/Civil/Architecture,"['· Architecture', '· Construction', '· Engineering', '· Management', '· Negotiation', '· Procurement', '· Pricing', '· Purchasing', '· Contracts Management']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/yPnd8IrsunUl-Tendering-and-Procurement-Manager-Cairo-Egypt
680d059c9eeca96d883e57f3,HR Manager,Bakier -,"Maadi, Cairo, Egypt",Full Time,On-site,· 10 - 17 Yrs of Exp,Manager,· Human Resources,"['· Hr manager', '· Human Resources (HR)', '· English', '· Recruitment']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/Bi02DA3qOskW-HR-Manager-Bakier-Cairo-Egypt
680d059c9eeca96d883e57f4,IT Operations Manager,Zewail City -,"6th of October, Giza, Egypt",Full Time,On-site,· 10 - 15 Yrs of Exp,Manager,· IT/Software Development,"['· Information Technology (IT)', '· IT', '· Computer Engineering', '· ERP', '· Computer Science', '· Project Management', '· Software']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/l1LhG4BbTTE0-IT-Operations-Manager-Zewail-City-Giza-Egypt
680d059c9eeca96d883e57f5,Sales Supervisor,Alshrouk Trading -,"Alexandria, Egypt",Full Time,On-site,· 5 - 7 Yrs of Exp,Manager,· Hospitality/Hotels/Food Services,"['· negotiation skills', '· sales skills', '· Customer Service', '· English', '· Key Account', '· Modern Trade', '· restaurant', '· Sales']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/FGylCzKkrroX-Sales-Supervisor-Alshrouk-Trading-Alexandria-Egypt
680d059c9eeca96d883e57f6,Talent Acquisition Specialist,Sales leads -,"Sheikh Zayed, Giza, Egypt",Full Time,On-site,· 2 - 15 Yrs of Exp,Experienced,· Human Resources,"['· Management', '· Communication', '· Applicant Tracking Systems', '· Human Resources', '· Human Resources (HR)', '· human resources management', '· Interviewing', '· Recruiting', '· Recruitment']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/sFX7fuSQzQMi-Talent-Acquisition-Specialist-Sales-leads-Giza-Egypt
680d059c9eeca96d883e57f7,Sales Supervisor Sharqia,OPPO Egypt  -,"Faqus, Sharqia, Egypt",Full Time,On-site,· 2 - 3 Yrs of Exp,Entry Level,· Customer Service/Support,"['· Sales', '· Sales Skills', '· Smartphones', '· Customer Service', '· Customer Care', '· Customer Support', '· Sales Supervisor', '· Leadership']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/QffABnOzTvQ5-Sales-Supervisor-Sharqia-OPPO-Egypt-Sharqia-Egypt
